title,city,image_url,href
Azienda agricola biologica vitale,Vicenza,"https://wwoof.imgix.net/photos/hosts/4b1f0779e5e799d3bb7a09eb9cc4a8df.jpg?ar=16:9&fit=crop&auto=format,enhance&q=50&w=576",https://wwoof.it/it/host/15223-azienda-agricola-biologica-vitale
Azienda agricola di montagna,Udine,"https://wwoof.imgix.net/photos/hosts/3df95ac00ab62be35ebb5c25beb98d58.jpg?ar=16:9&fit=crop&auto=format,enhance&q=50&w=576",https://wwoof.it/it/host/48302-azienda-agricola-di-montagna
Regenerative farming between mountain and sea,Imperia,"https://wwoof.imgix.net/photos/hosts/12ba4ae2e0bde28de205a5d3340bdc21.jpg?ar=16:9&fit=crop&auto=format,enhance&q=50&w=576",https://wwoof.it/it/host/16265-regenerative-farming-between-mountain-and-sea
Piccolo orto e frutteto a conduzione familiare,Aosta,"https://wwoof.imgix.net/photos/hosts/bc44b62ad75a7c5c2604f69560f6de9e.jpg?ar=16:9&fit=crop&auto=format,enhance&q=50&w=576",https://wwoof.it/it/host/16348-piccolo-orto-e-frutteto-a-conduzione-familiare
Fattoria di famiglia,Parma,"https://wwoof.imgix.net/photos/hosts/3d339507ac39013d4c6954eacfcabb9d.jpg?ar=16:9&fit=crop&auto=format,enhance&q=50&w=576",https://wwoof.it/it/host/15051-fattoria-di-famiglia
"Destinazione Agrituristica, Frutteto, Azienda agricola",Rieti,"https://wwoof.imgix.net/photos/hosts/96d1ae92be2a1e995944e0101cbdc612.jpg?ar=16:9&fit=crop&auto=format,enhance&q=50&w=576",https://wwoof.it/it/host/15056-destinazione-agrituristica-frutteto-azienda-agricola
Azienda agricola biologica e rigenerativa negli Appennini Toscani,Arezzo,"https://wwoof.imgix.net/photos/hosts/829865623c58bcbee0e4915f111056e7.jpg?ar=16:9&fit=crop&auto=format,enhance&q=50&w=576",https://wwoof.it/it/host/39241-azienda-agricola-biologica-e-rigenerativa-negli-appennini-toscani
Azienda agricola,Firenze,"https://wwoof.imgix.net/photos/hosts/fb6e72612757ce623e5ed0a41211b113.jpg?ar=16:9&fit=crop&auto=format,enhance&q=50&w=576",https://wwoof.it/it/host/15161-azienda-agricola
"Fattoria familiare in fervente transizione ecologica, ispirati alla permacultura",Napoli,"https://wwoof.imgix.net/photos/hosts/d7f50e799e28f11aa18b0986cff95f1a.jpg?ar=16:9&fit=crop&auto=format,enhance&q=50&w=576",https://wwoof.it/it/host/16333-fattoria-familiare-in-fervente-transizione-ecologica-ispirati-alla-permacultura
"Maneggio di cavalli in addestramento, di allevamento, da scuola e da reining",Verbano-Cusio-Ossola,"https://wwoof.imgix.net/photos/hosts/769f0ebc705560e5c0e72deedaa85a2e.jpg?ar=16:9&fit=crop&auto=format,enhance&q=50&w=576",https://wwoof.it/it/host/50035-maneggio-di-cavalli-in-addestramento-di-allevamento-da-scuola-e-da-reining
"Casa familiare e giardino - rurale, Fattoria di famiglia",Treviso,"https://wwoof.imgix.net/photos/hosts/70e56c099c44e764b5dba0c83b6ff050.jpg?ar=16:9&fit=crop&auto=format,enhance&q=50&w=576",https://wwoof.it/it/host/15641-casa-familiare-e-giardino-rurale-fattoria-di-famiglia
,Forlì-Cesena,"https://wwoof.imgix.net/photos/hosts/691cad3e86f1efb7ae70b1a481380149.jpg?ar=16:9&fit=crop&auto=format,enhance&q=50&w=576",https://wwoof.it/it/host/16342
"Allevamento etologico vacche e cavalli, apicoltura, impresa forestale",Piacenza,"https://wwoof.imgix.net/photos/hosts/56fc85db900e67725a3dea29ee55dc28.jpg?ar=16:9&fit=crop&auto=format,enhance&q=50&w=576",https://wwoof.it/it/host/52634-allevamento-etologico-vacche-e-cavalli-apicoltura-impresa-forestale
"Centro Educativo, Destinazione Agrituristica, Orto commerciale, Allevamento bovini, Ranch di cavalli",Alessandria,"https://wwoof.imgix.net/photos/hosts/1fd20fdeb11990d17d2d95b4cf5beee8.jpg?ar=16:9&fit=crop&auto=format,enhance&q=50&w=576",https://wwoof.it/it/host/15826-centro-educativo-destinazione-agrituristica-orto-commerciale-allevamento-bovini-ranch-di-cavalli
Organismo agricolo,Cuneo,"https://wwoof.imgix.net/photos/hosts/2b64a8e06e52b337e57f1d9559551ade.jpg?ar=16:9&fit=crop&auto=format,enhance&q=50&w=576",https://wwoof.it/it/host/15176-organismo-agricolo
"Agritourism Destination, Smallholding, Family farm",Lucca,"https://wwoof.imgix.net/photos/hosts/a679c2f78b8202cd2f9c4dad702b45bf.jpg?ar=16:9&fit=crop&auto=format,enhance&q=50&w=576",https://wwoof.it/it/host/15522-agritourism-destination-smallholding-family-farm
"Azienda agricola con orto, frutteto e laboratorio di trasformazione",Torino,"https://wwoof.imgix.net/photos/hosts/296950533bffc2c38b0adbd415471d5a.jpg?ar=16:9&fit=crop&auto=format,enhance&q=50&w=576",https://wwoof.it/it/host/48289-azienda-agricola-con-orto-frutteto-e-laboratorio-di-trasformazione
Vivere con la Terra,Forlì-Cesena,"https://wwoof.imgix.net/photos/hosts/0356a75c2e3c29f493ae2c792d3104fe.jpg?ar=16:9&fit=crop&auto=format,enhance&q=50&w=576",https://wwoof.it/it/host/51926-vivere-con-la-terra
"Casa familiare e giardino - rurale, Frutteto, Produzione ortaggi",Vicenza,"https://wwoof.imgix.net/photos/hosts/66d3911bc6e3d873273497ceb4ff02de.jpg?ar=16:9&fit=crop&auto=format,enhance&q=50&w=576",https://wwoof.it/it/host/15908-casa-familiare-e-giardino-rurale-frutteto-produzione-ortaggi
Azienda Agricola con coltivazione di Vite ed Olivi  e trasformazione uva in vino,Avellino,"https://wwoof.imgix.net/photos/hosts/98d697229c6720ae390de75fa642bdba.jpg?ar=16:9&fit=crop&auto=format,enhance&q=50&w=576",https://wwoof.it/it/host/51585-azienda-agricola-con-coltivazione-di-vite-ed-olivi-e-trasformazione-uva-in-vino
"Ranch di cavalli, Allevamento di bestiame, Frutteto, Fattoria di famiglia, Produzione ortaggi",Pisa,"https://wwoof.imgix.net/photos/hosts/2d4a67528a8d0cdf5450806ff034c75d.jpg?ar=16:9&fit=crop&auto=format,enhance&q=50&w=576",https://wwoof.it/it/host/15590-ranch-di-cavalli-allevamento-di-bestiame-frutteto-fattoria-di-famiglia-produzione-ortaggi
Azienda agrituristica nel Parco Naturale dei Montioni,Livorno,"https://wwoof.imgix.net/photos/hosts/7cb6caef9be0d2969c7e51e4a687fd31.jpg?ar=16:9&fit=crop&auto=format,enhance&q=50&w=576",https://wwoof.it/it/host/34167-azienda-agrituristica-nel-parco-naturale-dei-montioni
"Destinazione Agrituristica, Vigneto, Fattoria mista, Produzione ortaggi",Pisa,"https://wwoof.imgix.net/photos/hosts/9cd7c524e6de4d21161fcd26a4788ffd.jpg?ar=16:9&fit=crop&auto=format,enhance&q=50&w=576",https://wwoof.it/it/host/16055-destinazione-agrituristica-vigneto-fattoria-mista-produzione-ortaggi
Azienda agricola naturale sull'Appennino Parmense,Parma,"https://wwoof.imgix.net/photos/hosts/284d7226c7e9b7a1fdbb96cbac24e49c.jpg?ar=16:9&fit=crop&auto=format,enhance&q=50&w=576",https://wwoof.it/it/host/48078-azienda-agricola-naturale-sullappennino-parmense
Sito Ecoturistico,Siena,"https://wwoof.imgix.net/photos/hosts/cd9f499a20bb286d6af71345a34233d8.jpg?ar=16:9&fit=crop&auto=format,enhance&q=50&w=576",https://wwoof.it/it/host/15678-sito-ecoturistico
Fattoria di famiglia,Rieti,"https://wwoof.imgix.net/photos/hosts/e0b9129db5d72dee78e29d030a354f1d.jpg?ar=16:9&fit=crop&auto=format,enhance&q=50&w=576",https://wwoof.it/it/host/16063-fattoria-di-famiglia
"Apicoltura, coltivazioni, Allevamento, Azienda agricola, Produzione ortaggi",Fermo,"https://wwoof.imgix.net/photos/hosts/0f7925eb8e9fb80c7fb969ea172ce90f.jpg?ar=16:9&fit=crop&auto=format,enhance&q=50&w=576",https://wwoof.it/it/host/15559-apicoltura-coltivazioni-allevamento-azienda-agricola-produzione-ortaggi
Destinazione Agrituristica,Lucca,"https://wwoof.imgix.net/photos/hosts/ff6f553613c8a6137244891744bfc694.jpg?ar=16:9&fit=crop&auto=format,enhance&q=50&w=576",https://wwoof.it/it/host/15501-destinazione-agrituristica
Microfarm a prevalenza orticola in pianura padana in provincia di Vicenza.,Vicenza,"https://wwoof.imgix.net/photos/hosts/b374b86ba4b225db09c90c1b64b600d2.jpg?ar=16:9&fit=crop&auto=format,enhance&q=50&w=576",https://wwoof.it/it/host/49444-microfarm-a-prevalenza-orticola-in-pianura-padana-in-provincia-di-vicenza
Destinazione Agrituristica,Viterbo,"https://wwoof.imgix.net/photos/hosts/d2cb3646b7bd25b85d376ad235f899b9.jpg?ar=16:9&fit=crop&auto=format,enhance&q=50&w=576",https://wwoof.it/it/host/16401-destinazione-agrituristica
"Centro Educativo, Fattoria amatoriale, Sito ecoturistico , Sito Ecoturistico , Vigneto, Frutteto",Nuoro,"https://wwoof.imgix.net/photos/hosts/b2b8b76fab55b3d9f80c95aa55e7b33e.jpg?ar=16:9&fit=crop&auto=format,enhance&q=50&w=576",https://wwoof.it/it/host/15602-centro-educativo-fattoria-amatoriale-sito-ecoturistico-sito-ecoturistico-vigneto-frutteto
Fattoria biologica ai piedi del Gran Sasso,Pescara,"https://wwoof.imgix.net/photos/hosts/fdce1581595d7e95ca0697dfd246fa31.jpg?ar=16:9&fit=crop&auto=format,enhance&q=50&w=576",https://wwoof.it/it/host/15394-fattoria-biologica-ai-piedi-del-gran-sasso
"Orto Sociale in Centro Internazionale di Meditazione e Solidarietà, in Piemonte",Alessandria,"https://wwoof.imgix.net/photos/hosts/f935ddbc49ac260665d4d9b1118ba215.jpg?ar=16:9&fit=crop&auto=format,enhance&q=50&w=576",https://wwoof.it/it/host/51357-orto-sociale-in-centro-internazionale-di-meditazione-e-solidarieta-in-piemonte
Fattoria di famiglia,Lecco,"https://wwoof.imgix.net/photos/hosts/e805b9ac0c4c37b2caf8d13c08a62965.jpg?ar=16:9&fit=crop&auto=format,enhance&q=50&w=576",https://wwoof.it/it/host/15157-fattoria-di-famiglia
"Produzione ortaggi, Olivi",Avellino,"https://wwoof.imgix.net/photos/hosts/1548c07562ac5283af9c7fb6f5f30cd5.jpg?ar=16:9&fit=crop&auto=format,enhance&q=50&w=576",https://wwoof.it/it/host/15569-produzione-ortaggi-olivi
Fattoria mista,Campobasso,"https://wwoof.imgix.net/photos/hosts/c244781799b63e2b99151555df2d5526.jpg?ar=16:9&fit=crop&auto=format,enhance&q=50&w=576",https://wwoof.it/it/host/15718-fattoria-mista
"Educational Centre, Eco Retreat, Orchard, Vegetable production",Bologna,"https://wwoof.imgix.net/photos/hosts/8e0ac38eb7417b32928c92925af0e17c.jpg?ar=16:9&fit=crop&auto=format,enhance&q=50&w=576",https://wwoof.it/it/host/15797-educational-centre-eco-retreat-orchard-vegetable-production
,Sassari,"https://wwoof.imgix.net/photos/hosts/578503e9b8e3d2b00085f1478c65e352.jpg?ar=16:9&fit=crop&auto=format,enhance&q=50&w=576",https://wwoof.it/it/host/15647
"Centro Educativo, Piccola fattoria, Comunità intenzionale",Firenze,"https://wwoof.imgix.net/photos/hosts/6f720d6cf9c1c35fa4bd3e5b1f8a145e.jpg?ar=16:9&fit=crop&auto=format,enhance&q=50&w=576",https://wwoof.it/it/host/15105-centro-educativo-piccola-fattoria-comunita-intenzionale
,Rimini,"https://wwoof.imgix.net/images/IT/logo.png?bg=fff&pad-left=30&pad-right=30&pad-top=17&pad-bottom=17&fit=fill&ar=16:9&auto=format,enhance&q=50&w=576",https://wwoof.it/it/host/15151
"Casa familiare e giardino - rurale, Piccola fattoria, Vigneto, Azienda agricola, Produzione ortaggi",Trapani,"https://wwoof.imgix.net/photos/hosts/c0ba98b0cd3c760107f88ec21bcc265f.jpg?ar=16:9&fit=crop&auto=format,enhance&q=50&w=576",https://wwoof.it/it/host/16388-casa-familiare-e-giardino-rurale-piccola-fattoria-vigneto-azienda-agricola-produzione-ortaggi
Azienda agricola,Firenze,"https://wwoof.imgix.net/photos/hosts/30e5738d9addddc1653a73716d8909a9.jpg?ar=16:9&fit=crop&auto=format,enhance&q=50&w=576",https://wwoof.it/it/host/14851-azienda-agricola
"Fattoria mista, Fattoria di famiglia",Parma,"https://wwoof.imgix.net/photos/hosts/7ca328f97d9a37fdf6a37dfc39f76195.jpg?ar=16:9&fit=crop&auto=format,enhance&q=50&w=576",https://wwoof.it/it/host/15687-fattoria-mista-fattoria-di-famiglia
Cascina in the Parco Regionale di  Monte Barro (Como Lake),Lecco,"https://wwoof.imgix.net/photos/hosts/4e945138f4c902b3be549a84c0bf183e.jpg?ar=16:9&fit=crop&auto=format,enhance&q=50&w=576",https://wwoof.it/it/host/52356-cascina-in-the-parco-regionale-di-monte-barro-como-lake
Abbiamo da curare un baby-bosco creato con alberi autoctoni e con metodi di agricoltura naturale.,Lecce,"https://wwoof.imgix.net/photos/hosts/3e45e7311db28de09dc8e0e492aec23d.jpg?ar=16:9&fit=crop&auto=format,enhance&q=50&w=576",https://wwoof.it/it/host/16583-abbiamo-da-curare-un-baby-bosco-creato-con-alberi-autoctoni-e-con-metodi-di-agricoltura-naturale
Progetto in permacultura di un santuario per api,Livorno,"https://wwoof.imgix.net/photos/hosts/996b1594a229a9350b25391e51abfe52.jpg?ar=16:9&fit=crop&auto=format,enhance&q=50&w=576",https://wwoof.it/it/host/15413-progetto-in-permacultura-di-un-santuario-per-api
Fattoria Rigenerativa,Viterbo,"https://wwoof.imgix.net/photos/hosts/065a80471322bc633e9f26a18816eb73.jpg?ar=16:9&fit=crop&auto=format,enhance&q=50&w=576",https://wwoof.it/it/host/15578-fattoria-rigenerativa
Azienda Agricola Organico Rigenerativa Alto Monferrato,Alessandria,"https://wwoof.imgix.net/photos/hosts/cccb93cee9eb8e381d40f765e1ef7c3e.jpg?ar=16:9&fit=crop&auto=format,enhance&q=50&w=576",https://wwoof.it/it/host/50009-azienda-agricola-organico-rigenerativa-alto-monferrato
,Arezzo,"https://wwoof.imgix.net/photos/hosts/2469ffb6d945662f80b6f03b964d9d86.jpg?ar=16:9&fit=crop&auto=format,enhance&q=50&w=576",https://wwoof.it/it/host/14909
